seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,warmup_before_cycle_sec,cycle_start_offset_sec,expert_bs_id,run_index,source_file,source_condition,best_cycle,best_harmonic_mean,is_noop_to_best,sample_weight
1,multi_greedy,10,2,52,1,1,1,3.099516,79.3333,1.033172,30,0.522394,20,0,1,0,0.522394,0.654944,0.132551,0.132551,0.522394,0.14558,10,21,1,1,30,30,20,110.167,79.3333,54.6667,1.606696,1.109588,0.940387,0.023599,0.020035,0.023513,0.023599,10,10,0,fixed,10,10,0,0,3.0,4.0,1,11,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_1_20260818_015444.csv,multi_greedy_K10,4,0.676633,1,1.4719799999999998
2,multi_greedy,6,2,47,1,1,3,0.0,88.3333,1.132076,27,0.319834,29,0,1,0,0.319834,0.565264,0.245431,0.245431,0.319834,0.005685,6,46,1,1,28,27,25,96.5,88.3333,55.6667,1.036269,1.132076,1.796406,0.000488,8.2e-05,-0.005356,0.000488,6,6,0,fixed,6,6,0,0,3.0,4.0,1,42,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K6/master_log_2_20260818_073718.csv,multi_greedy_K6,5,0.618287,1,1.00976
3,multi_greedy,8,1,65,1,1,4,0.0,90.0,0.444444,28,0.33162,42,0,1,0,0.33162,0.50475,0.173129,0.173129,0.33162,0.0,8,0,1,0,25,28,27,96.6667,90.0,63.1667,0.413793,0.444444,0.633245,0.000293,0.00046,-0.004663,0.000293,8,8,0,fixed,8,8,0,0,3.0,4.0,2,53,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K8/master_log_3_20260818_125853.csv,multi_greedy_K8,5,0.606651,0,1.00586
9,multi_greedy,1,2,36,0,0,1,3.52202,93.6667,1.174007,27,0.302558,41,0,0,0,0.302558,0.321007,0.018449,0.018449,0.302558,-0.01887,1,35,1,-1,27,34,19,93.6667,85.0,58.1667,1.169296,0.981533,0.856995,9e-05,-0.002561,-0.006248,0.0,1,1,0,fixed,1,1,0,0,3.0,4.0,0,9,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_9_20260819_083748.csv,multi_greedy_K1,5,0.360556,1,1.0
4,multi_greedy,10,1,17,2,2,2,1.048094,67.8333,0.131012,22,0.332194,28,0,2,0,0.332194,0.431152,0.098958,0.098958,0.332194,0.0,10,0,1,0,27,31,22,107.5,79.6667,67.8333,0.56449,0.17208,0.130833,0.013398,0.005901,0.000696,0.013398,10,10,0,fixed,10,10,0,0,3.0,4.0,0,14,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_4_20260818_182426.csv,multi_greedy_K10,3,0.446406,0,1.26796
1,multi_greedy,10,2,13,0,0,4,0.0,110.167,0.363085,30,0.522394,20,0,2,1,0.522394,0.654944,0.132551,0.132551,0.522394,0.14558,10,21,1,0,30,30,20,110.167,79.3333,54.6667,0.363085,0.504202,0.731707,0.020035,0.020243,0.026756,0.026756,10,10,0,fixed,10,10,0,0,3.0,4.0,2,11,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_1_20260818_015444.csv,multi_greedy_K10,4,0.676633,0,1.53512
9,multi_greedy,10,1,56,0,0,3,0.0,82.8333,1.207244,26,0.321428,42,0,0,0,0.321428,0.459942,0.138514,0.138514,0.321428,0.0,10,0,1,-1,26,34,20,82.8333,86.8333,63.6667,1.207244,1.151632,1.57068,5.9e-05,-0.002767,-0.005242,0.0,10,10,0,fixed,10,10,0,0,3.0,4.0,0,19,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_9_20260819_084440.csv,multi_greedy_K10,5,0.541595,1,1.0
1,multi_greedy,10,2,59,1,1,4,0.0,79.3333,0.504202,30,0.522394,20,0,1,0,0.522394,0.654944,0.132551,0.132551,0.522394,0.14558,10,21,1,-1,30,30,20,110.167,79.3333,54.6667,0.363085,0.504202,0.731707,0.019826,0.020035,0.026543,0.026543,10,10,0,fixed,10,10,0,0,3.0,4.0,2,11,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_1_20260818_015444.csv,multi_greedy_K10,4,0.676633,0,1.53086
4,multi_greedy,1,2,13,2,2,2,0.952928,63.5,0.119116,21,0.321055,27,0,2,0,0.321055,0.334947,0.013892,0.013892,0.321055,-0.011139,1,53,1,0,28,31,21,107.5,79.8333,63.5,0.538471,0.159188,0.116513,0.013892,0.006251,0.000652,0.013892,1,1,0,fixed,1,1,0,0,3.0,4.0,0,4,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_4_20260818_182505.csv,multi_greedy_K1,5,0.370629,0,1.2778399999999999
2,multi_greedy,1,1,7,0,0,2,5.605443,96.0,0.70068,28,0.314149,25,0,0,0,0.314149,0.335059,0.02091,0.02091,0.314149,0.0,1,0,1,-1,28,21,31,96.0,83.6667,62.5,0.658094,0.747875,0.0788,0.000153,0.000796,-0.018478,0.000796,1,1,0,fixed,1,1,0,0,3.0,4.0,0,2,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_2_20260818_072353.csv,multi_greedy_K1,1,0.314149,1,1.01592
2,multi_greedy,10,2,11,1,1,3,0.0,88.1667,1.134215,28,0.44097,26,0,1,0,0.44097,0.652288,0.211318,0.211318,0.44097,0.126821,10,52,1,1,31,28,21,98.3333,88.1667,53.1667,1.016949,1.134215,1.880877,0.000639,0.000158,-0.00288,0.000639,10,10,0,fixed,10,10,0,0,3.0,4.0,1,12,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_2_20260818_073542.csv,multi_greedy_K10,4,0.621014,1,1.01278
3,multi_greedy,4,1,15,0,0,1,3.418535,96.6667,1.139512,25,0.33162,42,0,0,0,0.33162,0.415475,0.083854,0.083854,0.33162,0.0,4,0,1,-1,25,28,27,96.6667,90.0,63.1667,1.169291,1.128767,0.558273,0.00046,0.000309,-0.006901,0.000309,4,4,0,fixed,4,4,0,0,3.0,4.0,0,33,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K4/master_log_3_20260818_131509.csv,multi_greedy_K4,5,0.54884,1,1.00618
4,multi_greedy,10,1,56,1,1,2,1.424045,79.6667,0.178006,31,0.332194,28,0,0,1,0.332194,0.431152,0.098958,0.098958,0.332194,0.0,10,0,1,0,27,31,22,107.5,79.6667,67.8333,0.56449,0.177589,0.125159,0.007439,0.000696,-0.005763,0.007439,10,10,0,fixed,10,10,0,0,3.0,4.0,0,14,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_4_20260818_182426.csv,multi_greedy_K10,3,0.446406,0,1.14878
2,multi_greedy,1,1,66,1,1,4,0.0,83.6667,0.478087,21,0.314149,25,0,1,0,0.314149,0.335059,0.02091,0.02091,0.314149,0.0,1,0,1,0,28,21,31,96.0,83.6667,62.5,0.416667,0.478087,0.64,-0.000708,0.000153,-0.005517,0.0,1,1,0,fixed,1,1,0,0,3.0,4.0,1,2,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_2_20260818_072353.csv,multi_greedy_K1,1,0.314149,1,1.0
7,multi_greedy,3,1,58,1,1,1,2.768407,85.1667,0.922802,29,0.337456,37,0,1,0,0.337456,0.390795,0.053338,0.053338,0.337456,0.0,3,0,1,-1,25,29,26,94.1667,85.1667,58.3333,1.124799,0.964192,0.597699,0.003512,0.000184,-0.002019,0.003512,3,3,0,fixed,3,3,0,0,3.0,4.0,1,27,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K3/master_log_7_20260818_220700.csv,multi_greedy_K3,5,0.517913,1,1.07024
6,multi_greedy,4,2,51,0,0,2,4.663324,100.333,0.582915,30,0.647528,11,0,0,0,0.647528,0.736073,0.088545,0.088545,0.647528,0.087813,4,50,1,-1,30,29,21,100.333,77.6667,54.5,0.583972,0.332737,0.281305,0.049702,0.042139,0.040517,0.042139,4,4,0,fixed,4,4,0,0,3.0,4.0,0,36,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K4/master_log_6_20260819_062735.csv,multi_greedy_K4,3,0.66769,1,1.84278
1,multi_greedy,3,2,44,0,0,4,0.0,92.0,0.434783,23,0.395547,27,0,0,0,0.395547,0.452384,0.056836,0.056836,0.395547,0.018734,3,31,1,0,23,35,22,92.0,78.8333,54.5,0.434783,0.5074,0.733945,0.000114,-0.003845,-0.000391,0.0,3,3,0,fixed,3,3,0,0,3.0,4.0,0,21,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K3/master_log_1_20260818_015520.csv,multi_greedy_K3,5,0.56506,1,1.0
