seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta
1003,online_dqn,3,1,44,0,0,1,3.505517,97.833300,1.168506,28,0.305426,53,0,0,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,1,28,25,27,97.833300,81.500000,109.500000,1.081865,1.069475,0.617452,0.003734,0.003939,-0.001836,0.003939
1003,online_dqn,3,1,45,2,2,2,0.634979,109.500000,0.079372,27,0.305426,53,1,1,1,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.335548,0.102296,0.017795,0.017028,0.003734,0.017795
1003,online_dqn,3,1,46,1,1,4,0.000000,81.500000,0.490798,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.408859,0.490798,0.365297,0.002991,0.003734,-0.002052,0.002991
1003,online_dqn,3,1,47,2,2,1,1.876161,109.500000,0.625387,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,-1,28,25,27,97.833300,81.500000,109.500000,1.055016,1.069475,0.647787,0.009278,0.009561,0.003734,0.009561
1003,online_dqn,3,1,48,0,0,3,0.000000,97.833300,1.022147,28,0.305426,53,0,0,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,1,28,25,27,97.833300,81.500000,109.500000,1.022147,1.226994,0.913242,0.003734,0.004187,-0.001130,0.004187
1003,online_dqn,3,1,49,2,2,2,0.920212,109.500000,0.115026,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.335548,0.099325,0.018163,0.017395,0.003734,0.018163
1003,online_dqn,3,1,50,0,0,2,3.873193,97.833300,0.484149,28,0.305426,53,0,0,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.475229,0.335548,0.096942,0.003734,0.002858,-0.010301,0.002858
1003,online_dqn,3,1,51,0,0,2,3.873207,97.833300,0.484151,28,0.305426,53,0,0,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.475229,0.335548,0.096942,0.003734,0.002858,-0.010301,0.002858
1003,online_dqn,3,1,52,2,2,4,0.000000,109.500000,0.365297,27,0.305426,53,0,2,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.408859,0.490798,0.365297,0.008972,0.009745,0.003734,0.009745
1003,online_dqn,3,1,53,1,1,4,0.000000,81.500000,0.490798,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.408859,0.490798,0.365297,0.002991,0.003734,-0.002052,0.002991
1003,online_dqn,3,1,54,0,0,1,3.504295,97.833300,1.168098,28,0.305426,53,0,0,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,1,28,25,27,97.833300,81.500000,109.500000,1.081924,1.069475,0.617452,0.003734,0.003939,-0.001837,0.003939
1003,online_dqn,3,1,55,1,1,2,2.688443,81.500000,0.336055,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.350815,0.096942,0.004146,0.003734,-0.009765,0.004146
1003,online_dqn,3,1,56,0,0,4,0.000000,97.833300,0.408859,28,0.305426,53,0,0,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.408859,0.490798,0.365297,0.003734,0.004481,-0.001333,0.004481
1003,online_dqn,3,1,57,1,1,2,2.825136,81.500000,0.353142,25,0.305426,53,0,1,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.459457,0.348374,0.096942,0.004169,0.003734,-0.009744,0.004169
1003,online_dqn,3,1,58,0,0,2,3.874157,97.833300,0.484270,28,0.305426,53,0,0,0,0.305426,0.348506,0.043080,0.043080,0.305426,0.000000,3,0,1,0,28,25,27,97.833300,81.500000,109.500000,0.475219,0.335548,0.096942,0.003734,0.002858,-0.010301,0.002858
