seed,method,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,applied,skip_reason
22,online_dqn,4,39,13,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,40,14,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,41,20,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,42,21,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,43,24,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,44,37,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,45,38,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,46,45,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,47,47,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,48,48,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,49,51,2,2,2,0.672269,0.353198,0.353198,0.000000,1.602514,-0.807643,1.740139,0,same_bs
22,online_dqn,4,50,79,2,2,2,1.098934,0.353198,0.353198,0.000000,1.498297,-0.603916,1.873025,0,same_bs
22,online_dqn,4,51,3,2,2,2,1.058016,0.353198,0.353198,0.000000,1.530636,-0.583048,1.840378,0,same_bs
22,online_dqn,4,52,6,2,2,2,1.034585,0.353198,0.353198,0.000000,1.549153,-0.571099,1.821683,0,same_bs
22,online_dqn,4,53,71,2,2,2,1.029290,0.353198,0.353198,0.000000,1.553338,-0.568399,1.817459,0,same_bs
22,online_dqn,4,54,28,2,2,2,1.680672,0.353198,0.353198,0.000000,1.300957,-0.888703,1.919339,0,same_bs
22,online_dqn,4,55,39,2,2,2,1.680672,0.353198,0.353198,0.000000,1.300957,-0.888703,1.919339,0,same_bs
22,online_dqn,4,56,56,2,2,2,1.680672,0.353198,0.353198,0.000000,1.300957,-0.888703,1.919339,0,same_bs
22,online_dqn,4,57,53,2,2,2,1.680672,0.353198,0.353198,0.000000,1.300957,-0.888703,1.919339,0,same_bs
22,online_dqn,4,58,70,2,2,2,1.680672,0.353198,0.353198,0.000000,1.300957,-0.888703,1.919339,0,same_bs
22,online_dqn,4,59,10,2,2,2,1.680672,0.353198,0.353198,0.000000,1.300957,-0.888703,1.919339,0,same_bs
22,online_dqn,4,60,8,2,2,2,1.680672,0.353198,0.353198,0.000000,1.300957,-0.888703,1.919339,0,same_bs
