seed,method,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,applied,skip_reason
1002,online_dqn,2,37,50,0,0,0,0.682233,0.233991,0.233991,0.000000,-0.484276,-3.380157,-6.764869,0,29,23,28,96.500000,79.500000,58.166700,0.695148,0.392054,0.056246,0.003409,0.002350,-0.012691,0.000000,0,same_bs
1002,online_dqn,2,38,39,0,0,0,0.682357,0.233991,0.233991,0.000000,-0.484102,-3.380237,-6.764904,0,29,23,28,96.500000,79.500000,58.166700,0.695130,0.392054,0.056246,0.003409,0.002350,-0.012691,0.000000,0,same_bs
1002,online_dqn,2,39,33,0,0,0,0.682363,0.233991,0.233991,0.000000,-0.484092,-3.380241,-6.764907,0,29,23,28,96.500000,79.500000,58.166700,0.695129,0.392054,0.056246,0.003409,0.002350,-0.012691,0.000000,0,same_bs
1002,online_dqn,2,40,68,0,0,0,0.682371,0.233991,0.233991,0.000000,-0.484082,-3.380246,-6.764909,0,29,23,28,96.500000,79.500000,58.166700,0.695128,0.392054,0.056246,0.003409,0.002350,-0.012691,0.000000,0,same_bs
1002,online_dqn,2,41,65,0,0,0,0.682371,0.233991,0.233991,0.000000,-0.484082,-3.380246,-6.764909,0,29,23,28,96.500000,79.500000,58.166700,0.695128,0.392054,0.056246,0.003409,0.002350,-0.012691,0.000000,0,same_bs
1002,online_dqn,2,42,37,0,0,0,0.682496,0.233991,0.233991,0.000000,-0.483907,-3.380326,-6.764945,0,29,23,28,96.500000,79.500000,58.166700,0.695111,0.392054,0.056246,0.003409,0.002350,-0.012691,0.000000,0,same_bs
1002,online_dqn,2,43,26,2,2,2,0.687679,0.233991,0.233991,0.000000,-5.628275,-5.553955,-2.961727,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.008568,0.008625,0.003409,0.000000,0,same_bs
1002,online_dqn,2,44,66,2,2,2,0.687679,0.233991,0.233991,0.000000,-5.628275,-5.553955,-2.961727,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.008568,0.008625,0.003409,0.000000,0,same_bs
1002,online_dqn,2,45,8,2,2,2,0.687679,0.233991,0.233991,0.000000,-5.628275,-5.553955,-2.961727,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.008568,0.008625,0.003409,0.000000,0,same_bs
1002,online_dqn,2,46,40,2,2,2,0.687679,0.233991,0.233991,0.000000,-5.628275,-5.553955,-2.961727,0,29,23,28,96.500000,79.500000,58.166700,0.414508,0.503145,0.687679,0.008568,0.008625,0.003409,0.000000,0,same_bs
